,dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap,target_raw,target_scaled
570,4_7,1_6_1_7,36.133,33.254,34.657,33.855,-11.578,-17.483,-21.989,-17.087,1.056,1.14,1.1,0.912,-1.314,-7.684,0.06,-0.01,0.0,0.66,0.271,0.227,-0.355,-0.182,1.08,1.0,1.02,2.7,98.427,636.378,60.96,164.182,0.988,1.057,0.019,-7.55,-0.17,-0.01,-0.201,-0.267,1.5,2.7,185.535,636.378,6.236,7.702,34.657,33.254,33.254,1.404,-21.989,-17.483,-4.506,6.236,33.254,-0.59878181562257
879,1_7,1_6_4_3,37.105,34.134,36.791,36.307,-23.689,-22.433,-26.149,-25.233,1.091,1.164,1.09,1.013,0.656,-7.091,0.06,-0.27,0.0,-0.27,0.25,0.222,-0.4,0.194,1.08,1.0,1.53,1.53,98.427,334.486,60.96,334.486,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,8.27,6.899,36.791,34.134,34.134,2.657,-26.149,-25.233,-0.916,6.899,34.134,-0.5102283298234631
261,5_9,2_4_3_4,48.955,45.781,50.993,46.132,6.644,2.979,-8.254,-9.422,1.183,0.91,0.96,1.047,-0.731,-7.994,0.66,-0.17,-0.27,0.06,-0.458,0.304,0.369,0.325,1.02,1.53,1.08,1.5,164.182,185.535,334.486,98.427,0.876,1.056,-0.708,-8.875,-0.2,0.42,-0.122,-0.373,2.25,1.1,642.238,291.269,8.144,7.286,48.955,45.781,45.781,3.174,-8.254,-9.422,1.168,7.286,45.781,0.6617971805199412
578,7_7,5_1_3_8,40.519,40.519,42.855,42.855,-3.097,-3.097,-17.308,-17.308,0.824,1.141,0.9,1.125,-1.379,-8.539,-0.2,0.45,0.66,0.06,-0.027,0.273,-0.261,0.52,2.25,1.02,1.08,1.75,642.238,467.957,164.182,98.427,1.002,1.002,-0.542,-7.282,-0.01,-0.01,-0.228,-0.228,2.7,2.7,636.378,636.378,5.904,7.998,40.519,40.519,40.519,0.0,-17.308,-17.308,0.0,5.904,40.519,0.1322875870257371
23,4_7,5_2_1_5,54.051,54.879,61.698,60.218,10.133,8.634,15.78,13.361,1.077,1.079,1.025,0.991,-0.275,-8.049,-0.2,-0.2,-0.2,0.66,-0.101,0.26,-0.179,-0.021,2.25,2.25,1.02,2.25,642.238,642.238,642.238,164.182,0.988,1.057,0.019,-7.55,-0.17,-0.01,-0.201,-0.267,1.5,2.7,185.535,636.378,7.276,8.068,54.051,54.879,54.051,-0.827,10.133,8.634,1.499,7.276,54.051,1.4939986891092738
30,6_7,3_2_2_9,62.133,64.54,63.777,60.443,12.196,14.076,10.47,12.101,1.063,1.089,0.977,1.138,-0.672,-7.339,-0.27,0.42,-0.2,-0.2,0.135,0.224,-0.135,0.097,1.53,2.25,2.25,1.1,334.486,291.269,642.238,642.238,1.0,1.0,-0.294,-7.636,0.0,-0.01,-0.429,-0.25,1.0,2.7,60.96,636.378,6.964,7.045,62.133,60.443,60.443,1.689,10.47,12.101,-1.631,6.964,60.443,2.1372190086864213
617,2_9,5_3_3_4,33.007,34.666,35.044,35.258,-7.44,-8.028,-18.755,-18.075,1.037,1.013,1.005,1.039,0.198,-7.787,-0.2,-0.17,0.06,0.06,-0.275,0.263,0.338,0.348,2.25,1.08,1.08,1.5,642.238,185.535,98.427,98.427,0.993,0.929,-1.74,-9.532,0.66,0.42,-0.296,-0.254,1.02,1.1,164.182,291.269,9.729,6.047,33.007,34.666,33.007,-1.659,-18.755,-18.075,-0.68,6.047,33.007,-0.6236371690230011
10,3_9,3_2_2_3,68.635,61.934,64.381,66.177,21.896,19.377,17.715,19.467,1.084,1.082,1.082,1.084,1.402,-7.118,-0.27,-0.27,-0.2,-0.2,0.128,0.22,-0.118,-0.118,1.53,2.25,2.25,1.53,334.486,334.486,642.238,642.238,0.875,1.158,-0.377,-8.19,-0.27,0.42,0.224,-0.481,1.53,1.1,334.486,291.269,9.592,6.741,64.381,61.934,61.934,2.448,17.715,19.377,-1.662,6.741,61.934,2.2872567897392257
221,2_5,2_2_1_1,44.243,42.798,44.686,43.751,-4.106,-6.972,-15.52,-8.194,0.968,1.143,0.918,1.093,-1.076,-8.759,0.66,0.06,-0.2,0.66,0.377,0.253,-0.286,0.085,1.02,2.25,1.02,1.08,164.182,98.427,642.238,164.182,1.102,0.862,-0.393,-8.926,0.66,-0.2,-0.389,-0.1,1.02,2.25,164.182,642.238,7.85,8.366,44.243,42.798,42.798,1.445,-15.52,-8.194,-7.326,7.85,42.798,0.36162098945319676
820,4_8,3_1_4_6,29.239,33.516,34.812,35.429,-15.735,-17.145,-18.774,-23.147,0.874,1.213,0.994,1.096,-0.324,-7.74,-0.27,0.0,0.66,-0.27,0.281,0.249,-0.344,0.305,1.53,1.02,1.53,1.0,334.486,60.96,164.182,334.486,0.873,1.087,-0.165,-8.898,-0.17,0.45,-0.122,-0.391,1.5,1.75,185.535,467.957,8.574,7.575,29.239,33.516,29.239,-4.277,-18.774,-23.147,4.373,7.575,29.239,-1.0028070945809942
