dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap
2_8,1_4_2_5,38.99,40.638,39.885,38.857,-8.094,-7.281,-6.349,-1.484,1.154,0.906,1.023,0.966,0.866,-7.794,0.06,-0.2,-0.27,-0.2,0.175,0.225,0.206,-0.073,1.08,1.53,2.25,2.25,98.427,642.238,334.486,642.238,0.99,0.949,-1.494,-9.69,0.66,0.45,-0.29,-0.26,1.02,1.75,164.182,467.957,10.557,6.3,38.99,38.857,38.857,0.133,-8.094,-7.281,-0.814,6.3
4_4,5_1_1_5,40.91,40.91,46.131,46.131,-0.854,-0.854,-1.517,-1.517,0.904,1.114,1.114,0.904,-1.033,-8.396,-0.2,-0.2,0.66,0.66,-0.068,0.267,-0.182,-0.182,2.25,1.02,1.02,2.25,642.238,642.238,164.182,164.182,1.012,1.013,1.714,-8.088,-0.17,-0.17,-0.243,-0.243,1.5,1.5,185.535,185.535,7.056,10.11,40.91,40.91,40.91,0,-1.517,-1.517,0,7.056
6_7,5_2_4_8,53.845,53.042,53.747,52.571,2.545,2.374,5.312,-1.533,1.005,1.027,0.827,1.21,0.156,-7.9,-0.2,0.45,-0.2,-0.27,-0.192,0.241,-0.057,0.438,2.25,2.25,1.53,1.75,642.238,467.957,642.238,334.486,1,1,-0.294,-7.636,0,-0.01,-0.429,-0.25,1,2.7,60.96,636.378,7.791,7.606,53.747,52.571,52.571,1.176,2.545,-1.533,4.079,7.606
6_9,1_2_2_1,56.612,57.28,58.313,51.31,0.234,-0.684,-1.534,-1.584,1.092,1.085,1.085,1.092,1.085,-8.181,0.06,0.06,-0.2,-0.2,0.238,0.224,-0.124,-0.124,1.08,2.25,2.25,1.08,98.427,98.427,642.238,642.238,0.896,1.023,-0.657,-9.131,0,0.42,-0.355,-0.364,1,1.1,60.96,291.269,10.215,7.524,56.612,51.31,51.31,5.302,-1.534,-1.584,0.05,7.524
4_7,2_2_4_9,51.377,49.31,47.451,48.3,0.467,-1.639,-1.033,-2.029,1.124,0.966,0.887,1.154,-1.112,-8.393,0.66,0.42,-0.2,-0.27,-0.344,0.307,0.024,0.404,1.02,2.25,1.53,1.1,164.182,291.269,642.238,334.486,0.988,1.057,0.019,-7.55,-0.17,-0.01,-0.201,-0.267,1.5,2.7,185.535,636.378,6.438,8.412,47.451,48.3,47.451,-0.849,-1.033,-2.029,0.996,6.438
4_8,5_1_4_9,41.542,41.327,42.993,45.565,-4.629,-6.873,-8.53,-2.078,0.905,1.126,0.905,1.12,-1.266,-8.337,-0.2,0.42,0.66,-0.27,-0.036,0.272,-0.253,0.415,2.25,1.02,1.53,1.1,642.238,291.269,164.182,334.486,0.873,1.087,-0.165,-8.898,-0.17,0.45,-0.122,-0.391,1.5,1.75,185.535,467.957,7.631,8.172,41.542,41.327,41.327,0.215,-8.53,-6.873,-1.657,7.631
2_2,2_2_4_9,47.893,47.893,47.566,47.566,-2.224,-2.224,-2.206,-2.206,1.124,0.966,0.887,1.154,-1.112,-8.393,0.66,0.42,-0.2,-0.27,-0.344,0.307,0.024,0.404,1.02,2.25,1.53,1.1,164.182,291.269,642.238,334.486,0.978,0.978,-1.736,-9.745,0.66,0.66,-0.268,-0.268,1.02,1.02,164.182,164.182,8.633,6.657,47.566,47.566,47.566,0,-2.224,-2.224,0,6.657
2_7,3_1_3_9,42.52,38.599,43.41,40.069,0.956,0.49,-1.273,-2.322,0.804,1.244,0.897,1.135,-1.315,-8.038,-0.27,0.42,0.66,0.06,0.327,0.257,-0.368,0.524,1.53,1.02,1.08,1.1,334.486,291.269,164.182,98.427,1.095,0.903,-1.149,-8.015,0.66,-0.01,-0.373,-0.136,1.02,2.7,164.182,636.378,6.701,6.889,42.52,38.599,38.599,3.921,-1.273,-2.322,1.049,6.701
2_5,3_1_6_2,42.87,37.871,46.469,40.191,-6.323,0.695,1.43,-2.327,1.125,0.937,1.224,0.818,-1.235,-7.887,-0.27,0.66,0.66,0,-0.386,0.293,-0.128,-0.326,1.53,1.02,1,1.02,334.486,164.182,164.182,60.96,1.102,0.862,-0.393,-8.926,0.66,-0.2,-0.389,-0.1,1.02,2.25,164.182,642.238,7.691,7.495,42.87,37.871,37.871,4.999,-6.323,-2.327,-3.996,7.495
6_8,5_2_4_7,51.25,49.191,53.39,49.036,-0.557,0.182,2.746,-2.329,1.002,1.022,0.879,1.154,-0.078,-7.105,-0.2,-0.01,-0.2,-0.27,-0.191,0.238,-0.07,0.341,2.25,2.25,1.53,2.7,642.238,636.378,642.238,334.486,0.895,1.043,-0.348,-9.411,0,0.45,-0.35,-0.368,1,1.75,60.96,467.957,9.333,6.756,51.25,49.036,49.036,2.214,-0.557,-2.329,1.773,6.756
2_9,3_2_4_9,41.135,39.127,40.836,40.995,-0.733,-1.263,-9.497,-2.371,0.971,1.122,0.855,1.184,-0.467,-7.55,-0.27,0.42,-0.2,-0.27,0.184,0.233,-0.2,0.421,1.53,2.25,1.53,1.1,334.486,291.269,642.238,334.486,0.993,0.929,-1.74,-9.532,0.66,0.42,-0.296,-0.254,1.02,1.1,164.182,291.269,9.065,5.81,40.836,39.127,39.127,1.709,-9.497,-2.371,-7.126,5.81
1_4,4_1_2_5,46.098,47.962,49.16,50.807,-8.311,-5.979,-4.729,-2.422,1.077,1.086,1.025,0.977,-0.095,-8.026,-0.17,-0.2,0.66,-0.2,-0.107,0.26,-0.192,-0.024,1.5,1.02,2.25,2.25,185.535,642.238,164.182,642.238,1.019,1.055,1.656,-8.44,0.06,-0.17,0.208,-0.334,1.08,1.5,98.427,185.535,8.345,9.682,46.098,47.962,46.098,-1.865,-8.311,-5.979,-2.333,8.345
2_5,2_1_2_8,45.317,47.71,43.445,45.236,-5.764,1.736,-17.629,-2.469,1.122,1.038,0.945,1.033,-1.813,-9.053,0.66,0.45,0.66,-0.2,-0.257,0.32,-0.077,0.049,1.02,1.02,2.25,1.75,164.182,467.957,164.182,642.238,1.102,0.862,-0.393,-8.926,0.66,-0.2,-0.389,-0.1,1.02,2.25,164.182,642.238,7.113,8.66,43.445,45.236,43.445,-1.791,-17.629,-2.469,-15.16,7.113
3_5,3_6_6_5,50.875,58.925,54.044,57.221,5.706,12.957,-5.648,-2.588,0.979,1.108,1.064,1.051,0.568,-7,-0.27,-0.2,0,0,0.14,0.216,-0.364,-0.272,1.53,1,1,2.25,334.486,642.238,60.96,60.96,0.998,1.101,1.621,-7.471,-0.27,-0.2,0.12,-0.333,1.53,2.25,334.486,642.238,8.039,8.621,50.875,57.221,50.875,-6.346,-5.648,-2.588,-3.06,8.039
4_4,4_6_6_5,43.281,43.281,46.646,46.646,-3.886,-3.886,-2.647,-2.647,1.008,1.044,1.044,1.007,0.419,-7.403,-0.17,-0.2,0,0,-0.21,0.232,-0.277,-0.278,1.5,1,1,2.25,185.535,642.238,60.96,60.96,1.012,1.013,1.714,-8.088,-0.17,-0.17,-0.243,-0.243,1.5,1.5,185.535,185.535,8.507,9.118,43.281,43.281,43.281,0,-3.886,-3.886,0,8.507
5_8,4_3_2_2,46.785,46.869,44.404,46.442,0.7,1.947,-18.037,-2.674,1.096,0.904,0.945,1.072,-0.84,-8.128,-0.17,0.66,0.06,-0.2,-0.362,0.302,0.025,0.379,1.5,1.08,2.25,1.02,185.535,164.182,98.427,642.238,0.871,1.076,-0.346,-8.89,-0.2,0.45,-0.115,-0.378,2.25,1.75,642.238,467.957,8.05,7.781,44.404,46.442,44.404,-2.039,-18.037,-2.674,-15.363,7.781
2_7,2_3_4_4,37.876,38.476,38.241,38.906,-5.6,-3.343,-6.588,-2.999,1.181,0.847,1.072,0.946,-0.949,-8.036,0.66,-0.17,0.06,-0.27,-0.453,0.314,0.482,0.2,1.02,1.08,1.53,1.5,164.182,185.535,98.427,334.486,1.095,0.903,-1.149,-8.015,0.66,-0.01,-0.373,-0.136,1.02,2.7,164.182,636.378,7.066,6.886,37.876,38.476,37.876,-0.599,-6.588,-3.343,-3.245,6.886
2_3,2_4_3_8,43.012,43.532,43.914,45.266,0.482,-8.682,-11.674,-3.462,1.155,0.924,0.895,1.102,-1.515,-8.382,0.66,0.45,-0.27,0.06,-0.427,0.31,0.355,0.44,1.02,1.53,1.08,1.75,164.182,467.957,334.486,98.427,1.209,0.871,0.011,-8.258,0.66,-0.27,-0.5,0.238,1.02,1.53,164.182,334.486,6.742,8.393,43.012,43.532,43.012,-0.52,-11.674,-8.682,-2.993,6.742
7_9,3_2_1_3,43.789,41.315,44.135,43.518,-1.586,0.377,-3.722,-3.471,1.014,1.142,1.105,1.002,0.064,-7.285,-0.27,-0.27,-0.2,0.66,0.247,0.244,-0.283,-0.123,1.53,2.25,1.02,1.53,334.486,334.486,642.238,164.182,0.939,1.048,-1.088,-8.015,-0.01,0.42,-0.156,-0.35,2.7,1.1,636.378,291.269,8.079,6.196,43.789,41.315,41.315,2.473,-3.722,-3.471,-0.251,6.196
4_4,3_6_3_5,42.852,42.852,45.903,45.903,-2.355,-2.355,-3.474,-3.474,0.969,1.147,0.975,1.091,0.431,-7.225,-0.27,-0.2,0,0.06,0.174,0.225,-0.422,0.401,1.53,1,1.08,2.25,334.486,642.238,60.96,98.427,1.012,1.013,1.714,-8.088,-0.17,-0.17,-0.243,-0.243,1.5,1.5,185.535,185.535,8.52,8.939,42.852,42.852,42.852,0,-3.474,-3.474,0,8.52
8_9,5_2_1_6,37.522,37.29,39.508,43.289,-9.905,-9.495,-5.41,-3.62,0.968,1.029,1.091,1.084,-0.329,-8.194,-0.2,0,-0.2,0.66,-0.183,0.241,-0.032,-0.176,2.25,2.25,1.02,1,642.238,60.96,642.238,164.182,0.968,0.942,-1.586,-9.126,0.45,0.42,-0.289,-0.275,1.75,1.1,467.957,291.269,8.797,6.608,37.522,37.29,37.29,0.231,-9.905,-9.495,-0.409,6.608
8_9,2_2_1_5,40.712,43.161,45.86,47.927,-4.821,-5.252,-3.998,-3.732,1.114,0.922,1.107,0.962,-0.931,-8.578,0.66,-0.2,-0.2,0.66,-0.363,0.303,0.095,-0.201,1.02,2.25,1.02,2.25,164.182,642.238,642.238,164.182,0.968,0.942,-1.586,-9.126,0.45,0.42,-0.289,-0.275,1.75,1.1,467.957,291.269,8.195,6.992,40.712,43.161,40.712,-2.448,-4.821,-5.252,0.431,6.992
2_9,5_1_2_4,39.4,37.137,40.97,43.377,-6.269,-6.298,-2.879,-3.739,1.016,1.042,1.088,0.991,-0.293,-7.994,-0.2,-0.17,0.66,-0.2,-0.193,0.244,-0.036,-0.183,2.25,1.02,2.25,1.5,642.238,185.535,164.182,642.238,0.993,0.929,-1.74,-9.532,0.66,0.42,-0.296,-0.254,1.02,1.1,164.182,291.269,9.239,6.254,39.4,37.137,37.137,2.264,-6.269,-6.298,0.029,6.254
4_9,5_1_6_7,35.192,35.947,37.71,39.62,-6.193,-3.674,-9.288,-3.964,0.906,1.104,1.028,1.009,-1.055,-7.384,-0.2,-0.01,0.66,0,-0.085,0.26,-0.203,-0.226,2.25,1.02,1,2.7,642.238,636.378,164.182,60.96,0.875,1.066,-0.546,-8.904,-0.17,0.42,-0.127,-0.385,1.5,1.1,185.535,291.269,7.849,6.837,35.192,35.947,35.192,-0.755,-9.288,-3.964,-5.324,6.837
