,dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap,target_raw,target_scaled
969,6_6,1_1_1_2,24.915,24.915,24.915,24.915,-30.527,-30.527,-30.527,-30.527,0.819,1.183,1.014,0.983,-2.442,-8.956,0.06,0.66,0.66,0.66,0.423,0.257,-0.284,-0.072,1.08,1.02,1.02,1.02,98.427,164.182,164.182,164.182,0.998,0.998,1.102,-9.105,0.0,0.0,-0.454,-0.454,1.0,1.0,60.96,60.96,6.663,10.058,24.915,24.915,24.915,0.0,-30.527,-30.527,0.0,6.663,24.915,-1.4379267225302415
830,1_9,4_6_2_1,33.306,31.099,33.838,34.464,-21.51,-22.545,-22.718,-23.332,1.013,1.045,1.109,1.083,0.65,-7.568,-0.17,0.06,0.0,-0.2,0.231,0.222,-0.139,-0.269,1.5,1.0,2.25,1.08,185.535,98.427,60.96,642.238,0.895,1.103,-0.687,-9.217,0.06,0.42,0.317,-0.467,1.08,1.1,98.427,291.269,9.867,6.881,33.306,31.099,31.099,2.207,-22.718,-23.332,0.613,6.881,31.099,-0.815637226869246
579,3_6,6_3_2_9,35.386,37.473,36.959,39.551,-15.591,-16.091,-15.913,-17.346,1.133,0.84,0.907,1.032,-1.098,-8.449,0.0,0.42,0.06,-0.2,-0.519,0.256,0.396,0.005,1.0,1.08,2.25,1.1,60.96,291.269,98.427,642.238,0.973,1.133,1.54,-7.815,-0.27,0.0,0.121,-0.576,1.53,1.0,334.486,60.96,6.717,9.989,35.386,37.473,35.386,-2.087,-15.913,-17.346,1.433,6.717,35.386,-0.3842408704820065
968,1_7,2_1_3_1,31.588,30.695,31.555,31.837,-23.141,-29.816,-30.604,-30.439,0.964,1.106,1.02,0.989,-2.28,-8.628,0.66,0.06,0.66,0.06,0.242,0.248,0.306,-0.136,1.02,1.02,1.08,1.08,164.182,98.427,164.182,98.427,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,5.334,8.436,31.555,30.695,30.695,0.861,-30.604,-30.439,-0.165,5.334,30.695,-0.8562913271679268
162,1_9,4_2_4_2,44.151,47.627,46.393,47.266,-5.007,-5.763,-4.991,-5.726,1.232,0.84,1.046,0.949,-0.12,-8.185,-0.17,0.66,-0.2,-0.27,-0.453,0.301,0.427,-0.105,1.5,2.25,1.53,1.02,185.535,164.182,642.238,334.486,0.895,1.103,-0.687,-9.217,0.06,0.42,0.317,-0.467,1.08,1.1,98.427,291.269,9.097,7.498,44.151,47.266,44.151,-3.115,-5.007,-5.763,0.757,7.498,44.151,0.4977719738693235
908,4_5,3_3_1_6,36.135,34.667,38.161,36.593,-23.527,-25.092,-19.477,-26.117,1.016,1.087,1.095,0.924,-0.846,-7.668,-0.27,0.0,0.06,0.66,0.091,0.244,0.315,-0.24,1.53,1.08,1.02,1.0,334.486,60.96,98.427,164.182,0.999,1.017,1.462,-8.094,-0.17,-0.2,-0.228,-0.241,1.5,2.25,185.535,642.238,7.248,9.13,36.135,34.667,34.667,1.468,-23.527,-26.117,2.589,7.248,34.667,-0.4565930935383222
152,2_3,3_6_3_7,41.64,36.954,42.686,38.841,-7.954,-2.754,-12.465,-5.3,0.985,1.157,0.984,1.105,-0.446,-6.881,-0.27,-0.01,0.0,0.06,0.186,0.227,-0.43,0.435,1.53,1.0,1.08,2.7,334.486,636.378,60.96,98.427,1.209,0.871,0.011,-8.258,0.66,-0.27,-0.5,0.238,1.02,1.53,164.182,334.486,7.812,6.892,41.64,36.954,36.954,4.686,-12.465,-5.3,-7.164,6.892,36.954,-0.22645465942178022
801,2_2,1_3_6_2,32.508,32.508,32.777,32.777,-22.461,-22.461,-22.631,-22.631,0.987,1.091,0.923,1.072,-1.351,-8.24,0.06,0.66,0.06,0.0,0.219,0.24,0.283,-0.208,1.08,1.08,1.0,1.02,98.427,164.182,98.427,60.96,0.978,0.978,-1.736,-9.745,0.66,0.66,-0.268,-0.268,1.02,1.02,164.182,164.182,8.394,6.505,32.508,32.508,32.508,0.0,-22.631,-22.631,0.0,6.505,32.508,-0.6738510206295396
993,1_8,1_1_3_1,32.582,34.217,33.127,34.278,-25.029,-25.657,-33.988,-34.818,0.871,1.173,0.98,1.064,-0.837,-8.658,0.06,0.06,0.66,0.06,0.385,0.255,-0.337,0.318,1.08,1.02,1.08,1.08,98.427,98.427,164.182,98.427,0.894,1.125,-0.239,-9.257,0.06,0.45,0.324,-0.475,1.08,1.75,98.427,467.957,8.42,8.418,32.582,34.217,32.582,-1.635,-33.988,-34.818,0.83,8.418,32.582,-0.666404477505524
755,5_7,1_3_1_5,53.071,42.92,53.692,43.464,6.341,-17.502,-1.618,-21.367,1.062,0.995,1.133,0.854,-0.891,-8.317,0.06,-0.2,0.06,0.66,0.179,0.24,0.326,-0.253,1.08,1.08,1.02,2.25,98.427,642.238,98.427,164.182,1.04,1.094,0.231,-7.776,-0.2,-0.01,-0.199,-0.259,2.25,2.7,642.238,636.378,6.885,8.548,53.071,42.92,42.92,10.152,-1.618,-21.367,19.75,6.885,42.92,0.3738977227117093
