dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap
1_4,1_1_1_8,29.48,30.15,30.488,31.125,-23.908,-23.704,-30.566,-29.929,0.906,1.164,1.027,0.959,-2.008,-9.091,0.06,0.45,0.66,0.66,0.402,0.258,-0.278,-0.092,1.08,1.02,1.02,1.75,98.427,467.957,164.182,164.182,1.019,1.055,1.656,-8.44,0.06,-0.17,0.208,-0.334,1.08,1.5,98.427,185.535,6.432,10.747,29.48,30.15,29.48,-0.67,-30.566,-29.929,-0.636,6.432
1_6,1_6_2_6,35.774,35.326,35.318,35.823,-31.015,-32.093,-31.065,-30.019,1.055,1.126,0.988,1.04,0.47,-7.896,0.06,0.0,0.0,-0.2,0.25,0.219,-0.364,-0.046,1.08,1.0,2.25,1.0,98.427,60.96,60.96,642.238,0.983,1.082,1.33,-8.949,0.06,0.0,0.223,-0.568,1.08,1.0,98.427,60.96,9.419,9.226,35.318,35.326,35.318,-0.008,-31.065,-32.093,1.028,9.226
2_2,1_4_1_1,32.762,32.762,33.252,33.252,-20.835,-20.835,-30.052,-30.052,0.964,1.146,1.088,1.032,-0.678,-8.258,0.06,0.06,-0.27,0.66,0.373,0.252,-0.323,0.204,1.08,1.53,1.02,1.08,98.427,98.427,334.486,164.182,0.978,0.978,-1.736,-9.745,0.66,0.66,-0.268,-0.268,1.02,1.02,164.182,164.182,9.067,6.523,32.762,32.762,32.762,0.0,-30.052,-30.052,0.0,6.523
3_4,1_3_3_6,37.187,39.364,37.506,39.005,-29.273,-27.807,-29.85,-30.119,1.028,1.055,0.983,1.06,-0.042,-8.386,0.06,0.0,0.06,0.06,0.19,0.242,0.253,0.341,1.08,1.08,1.08,1.0,98.427,60.96,98.427,98.427,1.007,1.095,1.831,-7.467,-0.27,-0.17,0.106,-0.335,1.53,1.5,334.486,185.535,7.425,10.217,37.187,39.005,37.187,-1.817,-29.85,-30.119,0.27,7.425
1_7,4_4_6_1,36.027,34.355,36.088,35.533,-21.683,-29.402,-30.193,-30.27,1.08,1.159,1.029,1.04,0.566,-7.478,-0.17,0.06,-0.27,0.0,0.261,0.222,-0.404,0.272,1.5,1.53,1.0,1.08,185.535,98.427,334.486,60.96,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,8.181,7.286,36.027,34.355,34.355,1.672,-30.193,-30.27,0.077,7.286
2_8,4_4_1_6,28.204,27.231,29.703,29.254,-25.113,-22.377,-23.017,-30.392,0.995,1.055,1.097,0.968,-0.74,-7.946,-0.17,0.0,-0.27,0.66,-0.233,0.255,0.275,-0.226,1.5,1.53,1.02,1.0,185.535,60.96,334.486,164.182,0.99,0.949,-1.494,-9.69,0.66,0.45,-0.29,-0.26,1.02,1.75,164.182,467.957,8.95,6.452,28.204,27.231,27.231,0.973,-25.113,-30.392,5.279,6.452
1_7,2_1_3_1,31.588,30.695,31.555,31.837,-23.141,-29.816,-30.604,-30.439,0.964,1.106,1.02,0.989,-2.28,-8.628,0.66,0.06,0.66,0.06,0.242,0.248,0.306,-0.136,1.02,1.02,1.08,1.08,164.182,98.427,164.182,98.427,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,5.334,8.436,31.555,30.695,30.695,0.861,-30.604,-30.439,-0.165,5.334
6_6,1_1_1_2,24.915,24.915,24.915,24.915,-30.527,-30.527,-30.527,-30.527,0.819,1.183,1.014,0.983,-2.442,-8.956,0.06,0.66,0.66,0.66,0.423,0.257,-0.284,-0.072,1.08,1.02,1.02,1.02,98.427,164.182,164.182,164.182,0.998,0.998,1.102,-9.105,0.0,0.0,-0.454,-0.454,1.0,1.0,60.96,60.96,6.663,10.058,24.915,24.915,24.915,0.0,-30.527,-30.527,0.0,6.663
1_7,1_6_3_1,35.017,35.569,36.031,36.381,-29.062,-29.786,-30.729,-30.581,1.046,1.049,1.139,1.011,0.245,-8.171,0.06,0.06,0.0,0.06,0.153,0.235,0.304,-0.424,1.08,1.0,1.08,1.08,98.427,98.427,60.96,98.427,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,7.86,7.979,35.017,35.569,35.017,-0.553,-30.729,-30.581,-0.148,7.86
1_2,1_2_3_1,37.105,38.75,37.691,38.898,-20.814,-20.815,-29.535,-30.59,0.974,1.083,0.922,1.101,0.56,-8.138,0.06,0.06,-0.2,0.06,0.273,0.231,-0.197,0.315,1.08,2.25,1.08,1.08,98.427,98.427,642.238,98.427,0.884,1.149,-0.36,-9.308,0.06,0.66,0.34,-0.479,1.08,1.02,98.427,164.182,9.868,7.777,37.105,38.75,37.105,-1.645,-29.535,-30.59,1.054,7.777
1_8,1_4_2_1,41.662,39.027,40.445,40.019,-20.157,-20.089,-23.822,-30.71,0.997,1.077,1.035,1.08,0.891,-7.976,0.06,0.06,-0.27,-0.2,0.258,0.227,-0.175,0.199,1.08,1.53,2.25,1.08,98.427,98.427,334.486,642.238,0.894,1.125,-0.239,-9.257,0.06,0.45,0.324,-0.475,1.08,1.75,98.427,467.957,10.148,7.736,40.445,39.027,39.027,1.418,-23.822,-30.71,6.887,7.736
1_1,3_3_1_2,32.698,32.698,33.974,33.974,-29.418,-29.418,-30.828,-30.828,1.041,1.015,1.131,0.951,-2.005,-7.849,-0.27,0.66,0.06,0.66,-0.289,0.315,-0.132,0.301,1.53,1.08,1.02,1.02,334.486,164.182,98.427,164.182,1.061,1.061,1.545,-8.806,0.06,0.06,0.124,0.124,1.08,1.08,98.427,98.427,6.801,9.394,32.698,32.698,32.698,0.0,-30.828,-30.828,0.0,6.801
1_3,2_1_1_8,21.446,23.587,22.892,25.577,-28.805,-24.212,-25.136,-30.837,0.942,1.023,1.039,0.897,-2.92,-9.252,0.66,0.45,0.66,0.66,-0.214,0.321,-0.082,-0.109,1.02,1.02,1.02,1.75,164.182,467.957,164.182,164.182,1.104,1.048,1.779,-7.75,0.06,-0.27,0.121,0.017,1.08,1.53,98.427,334.486,4.83,11.031,21.446,23.587,21.446,-2.141,-28.805,-30.837,2.032,4.83
1_1,2_1_3_3,32.698,32.698,33.973,33.973,-29.418,-29.418,-31.088,-31.088,1.041,1.015,1.131,0.951,-2.005,-7.849,0.66,-0.27,0.66,0.06,-0.289,0.315,-0.132,0.301,1.02,1.02,1.08,1.53,164.182,334.486,164.182,98.427,1.061,1.061,1.545,-8.806,0.06,0.06,0.124,0.124,1.08,1.08,98.427,98.427,6.801,9.394,32.698,32.698,32.698,0.0,-31.088,-31.088,0.0,6.801
1_8,1_6_6_1,32.127,32.128,32.634,32.634,-23.732,-23.732,-31.106,-31.112,1.006,1.096,1.096,1.006,0.426,-7.978,0.06,0.06,0.0,0.0,0.242,0.22,-0.368,-0.368,1.08,1.0,1.0,1.08,98.427,98.427,60.96,60.96,0.894,1.125,-0.239,-9.257,0.06,0.45,0.324,-0.475,1.08,1.75,98.427,467.957,9.684,7.739,32.127,32.128,32.127,0.0,-31.106,-31.112,0.005,7.739
3_5,1_3_1_6,35.165,28.888,36.276,29.934,-29.574,-29.641,-29.966,-31.206,1.044,1.034,1.107,0.876,-1.018,-8.537,0.06,0.0,0.06,0.66,0.191,0.242,0.316,-0.248,1.08,1.08,1.02,1.0,98.427,60.96,98.427,164.182,0.998,1.101,1.621,-7.471,-0.27,-0.2,0.12,-0.333,1.53,2.25,334.486,642.238,6.453,10.158,35.165,28.888,28.888,6.276,-29.966,-31.206,1.24,6.453
