#{"t_start": 1768248100.72864, "env_id": "DielsAlderReact-v0"}
r,l,t
0.043587,20,6.849053
0.043171,20,6.864035
0.041913,20,6.920457
0.042467,20,6.935273
0.043323,20,6.949701
0.043408,20,6.964244
0.021698,20,6.96902
0.04378,20,6.98391
0.041849,20,6.999408
0.04179,20,7.013395
0.04391,20,7.027637
0.04163,20,7.042272
0.043939,20,7.056607
0.04163,20,7.070621
0.04163,20,7.085599
0.042026,20,7.14077
0.04163,20,7.155968
0.043765,20,7.170588
0.042813,20,7.210364
0.001633,20,7.215117
0.043591,20,7.230015
0.00126,20,7.234844
0.010103,20,7.239356
0.043554,20,7.254256
0.042916,20,7.26842
0.043784,20,7.282523
0.042785,20,7.296733
0.043436,20,7.350921
0.044143,20,7.36564
0.036784,20,7.371786
0.044173,20,7.387076
0.044189,20,7.402554
0.043231,20,7.416562
0.042933,20,7.431377
0.042102,20,7.44599
0.042892,20,7.461276
0.04163,20,7.475941
0.042923,20,7.491008
0.042288,20,7.505585
0.04163,20,7.520781
0.036229,20,7.565927
0.043696,20,7.581058
0.043325,20,7.5963
0.04163,20,7.61102
0.01464,20,7.615725
0.043777,20,7.630225
0.04163,20,7.644528
0.043375,20,7.658578
0.04163,20,7.673723
0.043172,20,7.689032
0.042364,20,7.703739
0.043311,20,7.718412
0.04163,20,7.733461
0.04163,20,7.788831
0.042071,20,7.803014
0.012613,20,7.807734
0.042629,20,7.841233
0.043646,20,7.856153
0.042964,20,7.870974
0.04367,20,7.885649
0.04163,20,7.900723
0.043192,20,7.916065
0.044026,20,7.930496
0.043271,20,7.945183
0.041674,20,7.95974
0.043525,20,7.974348
0.044328,20,8.031358
0.041989,20,8.046127
0.042844,20,8.061159
0.043053,20,8.076245
0.044209,20,8.091381
0.04163,20,8.10643
0.043432,20,8.120169
0.04163,20,8.134918
0.044354,20,8.151108
0.041916,20,8.166096
0.042953,20,8.183028
0.043577,20,8.197587
0.04163,20,8.211941
0.043765,20,8.266716
0.043648,20,8.281771
0.042512,20,8.296326
0.043291,20,8.31115
0.043199,20,8.325797
0.043342,20,8.340951
0.043114,20,8.355015
0.04163,20,8.369657
0.04343,20,8.383958
0.044191,20,8.399035
0.044186,20,8.414136
0.042968,20,8.428574
0.04163,20,8.483108
0.041829,20,8.498518
0.04163,20,8.513468
0.043935,20,8.527601
0.043232,20,8.541903
0.043813,20,8.557105
0.043908,20,8.57177
0.044171,20,8.586724
0.043484,20,8.601528
0.043164,20,8.616346
0.044069,20,8.631141
0.041851,20,8.645797
0.04228,20,8.660594
0.042458,20,8.71476
0.04345,20,8.729698
0.04163,20,8.744908
0.04163,20,8.759706
0.041999,20,8.77454
0.042829,20,8.789079
0.002492,20,8.793758
0.04163,20,8.808715
0.042797,20,8.82331
0.042958,20,8.838064
0.04163,20,8.853519
0.043425,20,8.868088
0.042023,20,8.882464
0.044026,20,8.934559
0.043978,20,8.948307
0.043132,20,8.962242
0.044035,20,8.976389
0.042512,20,8.991083
0.04163,20,9.005502
0.04163,20,9.020337
0.04163,20,9.034695
0.04276,20,9.049287
0.04163,20,9.063082
0.042222,20,9.077418
0.043569,20,9.091939
0.043726,20,9.10677
0.04163,20,9.162489
0.044229,20,9.176719
0.04163,20,9.191258
0.04163,20,9.2056
0.041747,20,9.219846
0.044163,20,9.234618
0.042186,20,9.248788
0.04163,20,9.263213
0.04163,20,9.277724
0.04163,20,9.292002
0.043933,20,9.305596
0.04163,20,9.319722
0.043619,20,9.333937
0.041669,20,9.387961
0.04163,20,9.402068
0.04163,20,9.41669
0.04163,20,9.430832
0.043907,20,9.445332
0.041915,20,9.459237
0.04163,20,9.4736
0.042979,20,9.48801
0.042839,20,9.501841
0.043793,20,9.516335
0.042448,20,9.530138
0.043688,20,9.544148
0.042632,20,9.598811
0.042492,20,9.612907
0.043623,20,9.62693
0.044193,20,9.641093
0.044008,20,9.655475
0.042705,20,9.669331
0.04261,20,9.683767
0.044128,20,9.697879
0.042775,20,9.711881
0.042268,20,9.726463
0.043964,20,9.740387
0.043376,20,9.754513
0.04163,20,9.768766
0.041729,20,9.823254
0.043555,20,9.837616
0.043773,20,9.851352
0.001729,20,9.855905
0.044016,20,9.870331
0.044364,20,9.885813
0.04328,20,9.900363
0.04163,20,9.914704
0.04163,20,9.928955
0.04163,20,9.943353
0.04368,20,9.957344
0.043131,20,9.971303
0.043961,20,9.985246
0.042889,20,10.036722
0.04163,20,10.050969
0.043645,20,10.06497
0.043939,20,10.078545
0.043791,20,10.092166
0.042279,20,10.10609
0.043338,20,10.120213
0.04163,20,10.134422
0.04168,20,10.148711
0.04163,20,10.162818
0.043766,20,10.176151
0.043448,20,10.18974
0.043537,20,10.203673
0.043646,20,10.25517
0.04163,20,10.269617
0.04163,20,10.283776
0.041661,20,10.297787
0.042408,20,10.312261
0.043556,20,10.326866
0.043854,20,10.341014
0.04163,20,10.355001
0.04163,20,10.369476
0.044063,20,10.383435
0.044334,20,10.407916
0.043373,20,10.421705
0.043571,20,10.436064
0.04163,20,10.487112
0.042293,20,10.501003
0.042212,20,10.514496
0.042355,20,10.528431
0.043241,20,10.542902
0.04421,20,10.556946
0.04245,20,10.57107
0.04163,20,10.585381
0.044199,20,10.599882
0.044327,20,10.615593
0.043288,20,10.630077
0.042527,20,10.643979
0.042171,20,10.695227
0.043297,20,10.709302
0.044211,20,10.723317
0.04163,20,10.737376
0.043421,20,10.751357
0.044237,20,10.765697
0.043095,20,10.779824
0.043592,20,10.793837
0.044091,20,10.807434
0.043885,20,10.821356
0.04193,20,10.835679
0.04422,20,10.849981
0.04277,20,10.863455
0.042707,20,10.917556
0.003951,20,10.922078
0.041761,20,10.936594
0.04163,20,10.950875
0.04163,20,10.965311
0.043163,20,10.979657
0.043344,20,10.994077
0.04163,20,11.007978
0.04163,20,11.021937
0.044068,20,11.036174
0.042663,20,11.050456
0.04163,20,11.0646
0.042812,20,11.078692
0.042008,20,11.130348
0.043558,20,11.144996
0.04163,20,11.159422
0.043763,20,11.174439
0.043031,20,11.189388
0.042126,20,11.203192
0.044144,20,11.227063
0.04254,20,11.242309
0.043691,20,11.256601
0.043768,20,11.27106
0.043502,20,11.285459
0.043734,20,11.299669
0.043935,20,11.314542
0.041918,20,11.36734
0.044224,20,11.381665
0.044092,20,11.395763
0.043989,20,11.409258
0.0,20,11.413298
0.043796,20,11.426913
0.044126,20,11.44129
0.0419,20,11.455556
0.04163,20,11.46999
0.043725,20,11.48441
0.04403,20,11.498735
0.04163,20,11.512773
0.043619,20,11.526995
0.043817,20,11.578147
0.043979,20,11.592555
0.042731,20,11.60656
0.04163,20,11.620546
0.04163,20,11.634588
0.04163,20,11.648902
0.042096,20,11.663059
0.043833,20,11.676959
0.043863,20,11.69058
0.043228,20,11.704333
0.044098,20,11.718142
0.044093,20,11.732306
0.04163,20,11.78375
0.041273,20,11.797666
0.041681,20,11.810925
0.04163,20,11.824945
0.043779,20,11.838649
0.041896,20,11.852659
0.042523,20,11.86661
0.043922,20,11.880725
0.043353,20,11.894738
0.04163,20,11.908659
0.044067,20,11.922895
0.043013,20,11.937281
0.043412,20,11.951245
0.043737,20,12.002483
0.041876,20,12.016849
0.042047,20,12.030501
0.042899,20,12.045458
0.04433,20,12.061754
0.044012,20,12.076257
0.04163,20,12.090618
0.043333,20,12.105126
0.043442,20,12.12012
0.042536,20,12.135075
0.043457,20,12.150296
0.04163,20,12.165705
0.043137,20,12.179966
0.041677,20,12.235517
0.043927,20,12.251266
0.043509,20,12.265688
0.042092,20,12.280173
0.041875,20,12.294778
0.04163,20,12.309536
0.042684,20,12.324071
0.04163,20,12.338561
0.04163,20,12.352803
0.044226,20,12.367067
0.04295,20,12.382201
0.043484,20,12.396789
0.042276,20,12.412406
0.044184,20,12.466406
